,Dimension,Subdimension,Pregunta,Valor_Nombre,Cantidad
0,Estrategia y direccion,Definicion de gestion del conocimiento,¿En qué medida conoce la definición de gestión del conocimiento de su organización?,valor_1,1
1,Estrategia y direccion,Definicion de gestion del conocimiento,¿En qué medida conoce la definición de gestión del conocimiento de su organización?,valor_2,3
2,Estrategia y direccion,Definicion de gestion del conocimiento,¿En qué medida conoce la definición de gestión del conocimiento de su organización?,valor_3,6
3,Estrategia y direccion,Definicion de gestion del conocimiento,¿En qué medida conoce la definición de gestión del conocimiento de su organización?,valor_4,11
4,Estrategia y direccion,Definicion de gestion del conocimiento,¿En qué medida conoce la definición de gestión del conocimiento de su organización?,valor_5,4
154,Estrategia y direccion,Definicion de gestion del conocimiento,¿En qué medida conoce la definición de gestión del conocimiento de su organización?,valor_nan,0
5,Estrategia y direccion,Plan estrategico,¿En qué medida considera que las estrategias de gestión del conocimiento están alineadas con los objetivos generales de la empresa?,valor_1,0
6,Estrategia y direccion,Plan estrategico,¿En qué medida considera que las estrategias de gestión del conocimiento están alineadas con los objetivos generales de la empresa?,valor_2,2
7,Estrategia y direccion,Plan estrategico,¿En qué medida considera que las estrategias de gestión del conocimiento están alineadas con los objetivos generales de la empresa?,valor_3,4
8,Estrategia y direccion,Plan estrategico,¿En qué medida considera que las estrategias de gestión del conocimiento están alineadas con los objetivos generales de la empresa?,valor_4,11
9,Estrategia y direccion,Plan estrategico,¿En qué medida considera que las estrategias de gestión del conocimiento están alineadas con los objetivos generales de la empresa?,valor_5,8
155,Estrategia y direccion,Plan estrategico,¿En qué medida considera que las estrategias de gestión del conocimiento están alineadas con los objetivos generales de la empresa?,valor_nan,0
10,Estrategia y direccion,Plan estrategico,¿Está al tanto de las estrategias de gestión del conocimiento implementadas en la organización?,valor_1,0
11,Estrategia y direccion,Plan estrategico,¿Está al tanto de las estrategias de gestión del conocimiento implementadas en la organización?,valor_2,3
12,Estrategia y direccion,Plan estrategico,¿Está al tanto de las estrategias de gestión del conocimiento implementadas en la organización?,valor_3,6
13,Estrategia y direccion,Plan estrategico,¿Está al tanto de las estrategias de gestión del conocimiento implementadas en la organización?,valor_4,11
14,Estrategia y direccion,Plan estrategico,¿Está al tanto de las estrategias de gestión del conocimiento implementadas en la organización?,valor_5,5
156,Estrategia y direccion,Plan estrategico,¿Está al tanto de las estrategias de gestión del conocimiento implementadas en la organización?,valor_nan,0
15,Humana,Comunidades de conocimiento,¿Cuánto considera que las comunidades de conocimiento han beneficiado a los miembros y a la organización?,valor_1,0
16,Humana,Comunidades de conocimiento,¿Cuánto considera que las comunidades de conocimiento han beneficiado a los miembros y a la organización?,valor_2,5
17,Humana,Comunidades de conocimiento,¿Cuánto considera que las comunidades de conocimiento han beneficiado a los miembros y a la organización?,valor_3,10
18,Humana,Comunidades de conocimiento,¿Cuánto considera que las comunidades de conocimiento han beneficiado a los miembros y a la organización?,valor_4,7
19,Humana,Comunidades de conocimiento,¿Cuánto considera que las comunidades de conocimiento han beneficiado a los miembros y a la organización?,valor_5,2
